domain, submitted, correct
cfsjdqwdhmwkiv,benign,dga
uocoqgiusyeciouaimcauykqswsymo,benign,dga
okdbnxoauhzrawyu,benign,dga
m8sdetc0u81lgdcpshoxsvy,benign,dga
qkdccn,benign,dga
g2g0kfwnw65lqri,benign,dga
xretmysxptli,benign,dga
cewesckwaqc,benign,dga
jknwld,benign,dga
kuekgowceqaomwkyeyys,benign,dga
cyneugril,benign,dga
eikmcosam,benign,dga
mamysymikazadoci,benign,dga
qquorah,benign,dga
vjmvkandfield,benign,dga
pfqhsrasw,benign,dga
rbhatfhoj,benign,dga
dqmjdb,benign,dga
devshrmltkd,benign,dga
3v78ihevo434ixg63pc,benign,dga
nfwkowelcamino,benign,dga
npowancorml,benign,dga
ef3030krwl5hsni,benign,dga
skimyciiskmgmuiaqgsq,benign,dga
skeyggikcecycsgcqwksigkswo,benign,dga
wdurwxy4m07p3vcpcto,benign,dga
bsctuylsftfn,benign,dga
oddjzrqfjvoz,benign,dga
uh5hwryfk6mry4o0c8k,benign,dga
7e41rnue7fxk6w0bdibmawz3,benign,dga
gnniqpseqqys,benign,dga
wendvittjckqpa,benign,dga
qgiwwoucaumegg,benign,dga
qffhyzqmjcrz,benign,dga
kdmoldsbhpcl,benign,dga
fogykuhovaxavaniholijiq,benign,dga
ynwambrkriny,benign,dga
rbnslkgtcat,benign,dga
uoiekeoysokiisscqiowwg,benign,dga
kepyponepadolecepikubyz,benign,dga
jyoqwbregx,benign,dga
galosibapedos,benign,dga
aaukomgwgesgyauqqyeqcsggygygskg,benign,dga
skcqqkuiiymgmouugeswmowogkeseg,benign,dga
ldmlxpkcvah,benign,dga
mazdfafutinlvruwmtmaew,benign,dga
elmedkmql,benign,dga
vozojhnposdqyakmedx,benign,dga
hfianybzys,benign,dga
qj1h14ejang6g4c67rwpmvy,benign,dga
dzmxpartbulkyf,benign,dga
mymycuyicusgqmqigyqqcgosyyi,benign,dga
owhymachuslazaroqok,benign,dga
jtvqestnessbiophysicalohax,benign,dga
hurizyxsctzgav,benign,dga
viwazytucatywudap,benign,dga
ftmrnadalvqm,benign,dga
lyrjgxvjaepen,benign,dga
myyuegue,benign,dga
mymuoieoweqguwyuoquc,benign,dga
1mo9uownkn5czcnlh4u1o8jxgs,benign,dga
eezcareisbad,benign,dga
godahowymymehipah,benign,dga
dxgzmen,benign,dga
swqxjilmtlnu,benign,dga
ipaemby,benign,dga
cndprxjjiuaw,benign,dga
nrgtball,benign,dga
pggdyff2cl7ob10z3718ro0yq,benign,dga
surfersbaseball,dga,benign
rairphhgaxvdxtrznphbrxoao,benign,dga
ppvvebrags,benign,dga
tupygypikoguqu,benign,dga
wdcxajpoteka,benign,dga
pifpjmyhkn,benign,dga
