domain,domain_type
wisuolycossttqrj.com,dga
wi-wamss.org,benign
qcxfurnkbqidxxcl.biz,dga
192-168-1-1-admin.ru,benign
dblsiobnkjxomkmh.ru,dga
su5aksay.ru,benign
sisalex.edu.eg,benign
vloiolycossttqrj.cn,dga
bmabazar.com,benign
msyxwioqtcpbbypd.info,dga
oyzsiyctdufmplay.org,dga
qewrovaihearwrfb.cn,dga
gmvdniycossttqrj.net,dga
tbkwbolyfadifehn.net,dga
wqppiyctdufmplay.com,dga
imanpayeshparsian.com,benign
bhrc.ac.ir,benign
postroadconsulting.school,benign
derasat-ps.blogspot.com,benign
xrqsvunkbqidxxcl.cn,dga
tbsviobnkjxomkmh.org,dga
retailnews.asia,benign
rpkldfmfxlkgifuf.com,dga
magic-traffic-booster.com,benign
ckzchlbnkjxomkmh.ru,dga
usfvdfmfxlkgifuf.ru,dga
namoradinhasp.com.br,benign
qwnycrlyfadifehn.cn,dga
vrcrurnkbqidxxcl.ru,dga
lfyaiyctdufmplay.info,dga
japfacomfeed.co.id,benign
betcashgclub.com,benign
gcivwioqtcpbbypd.com,dga
freefixer.com,benign
hztfdfmfxlkgifuf.org,dga
smycvfoqtcpbbypd.cn,dga
tlxmvunkbqidxxcl.org,dga
venturehacks.com,benign
ashmayuyoga.com,benign
digitalmarketplace.service.gov.uk,benign
hdhpniycossttqrj.ru,dga
metasfresh.com,benign
gcayurnkbqidxxcl.org,dga
fitnessbrain.ru,benign
reflectivedata.com,benign
jjxypyaihearwrfb.com,dga
kutaisipost.ge,benign
skylor.ru,benign
smscodes.io,benign
imaxwioqtcpbbypd.ru,dga
techmeer.com,benign
woodlandworldwide.com,benign
matematiksel.com,benign
tdska6ll.ru,benign
healingtreeayahuasca.com,benign
corluhaber.com.tr,benign
btvvpyaihearwrfb.info,dga
shootdotedit.com,benign
gamewiki-jp.com,benign
risorsedidattiche.net,benign
travian.com,benign
pddgdfmfxlkgifuf.info,dga
prettyteenmovies.pro,benign
vjadurnkbqidxxcl.ru,dga
frfeurnkbqidxxcl.net,dga
lbxovunkbqidxxcl.org,dga
ttyucrlyfadifehn.net,dga
xn--24-glceagatoq7c2a6ioc.xn--p1ai,benign
lzvwjcctdufmplay.net,dga
precisionit.co.in,benign
budstore.com.ua,benign
ei.go.kr,benign
djvahlbnkjxomkmh.biz,dga
crcmventures.com,benign
zdphbolyfadifehn.org,dga
eitaa.com,benign
